<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20140407,000000,11.6010000,11.6010000,11.6010000,11.6010000,0
20140408,000000,11.8000000,11.8000000,11.7800000,11.7800000,0
20140409,000000,11.8784000,11.8784000,11.8782000,11.8782000,36
20140410,000000,11.8782000,12.4000000,11.8782000,12.3800000,70
20140411,000000,12.3800000,12.5691000,12.3800000,12.5691000,69
20140412,000000,12.5691000,12.5691000,12.5691000,12.5691000,6
20140414,000000,12.5691000,13.0000000,12.5691000,13.0000000,104
20140415,000000,13.0000000,13.0000000,12.3855000,12.3855000,85
20140416,000000,12.3855000,12.3855000,11.3960000,11.3960000,79
20140417,000000,11.3960000,11.3960000,11.2520000,11.2520000,96
20140418,000000,11.2520000,11.2520000,11.2000000,11.2273000,85
20140419,000000,11.2273000,11.2273000,11.2273000,11.2273000,9
20140421,000000,11.2273000,11.2273000,11.2273000,11.2273000,83
20140422,000000,11.2273000,11.2474000,11.2273000,11.2474000,0
20140423,000000,11.2474000,11.5128000,11.2474000,11.5128000,108
20140424,000000,11.5128000,11.5128000,11.3832000,11.3845000,115
20140425,000000,11.3845000,11.3845000,11.3832000,11.3832000,110
20140426,000000,11.3832000,11.3832000,11.3832000,11.3832000,9
20140428,000000,11.3832000,11.3832000,11.3572000,11.3572000,77
20140429,000000,11.3572000,11.3572000,11.3572000,11.3572000,0
20140430,000000,11.3572000,11.4015000,11.3572000,11.4015000,65
20140501,000000,11.4015000,11.4015000,11.4015000,11.4015000,0
20140502,000000,11.4015000,11.4015000,11.4015000,11.4015000,0
20140503,000000,11.4015000,11.4015000,11.4015000,11.4015000,11
20140505,000000,11.4015000,11.4015000,11.4000000,11.4000000,48
20140506,000000,11.4000000,11.4695000,11.4000000,11.4695000,0
20140507,000000,11.6513000,11.6513000,11.6513000,11.6513000,0
20140512,000000,11.6054000,11.6054000,11.6054000,11.6054000,0
20140513,000000,11.6465000,11.6465000,11.6465000,11.6465000,0
20140514,000000,11.7645000,11.7645000,11.7645000,11.7645000,0
20140515,000000,11.6628000,11.6628000,11.6628000,11.6628000,0
20140516,000000,11.7550000,11.7550000,11.7550000,11.7550000,0
20140518,000000,11.7550000,11.7550000,11.7550000,11.7550000,0
20140519,000000,11.7520000,11.7520000,11.7520000,11.7520000,0
20140520,000000,11.7160000,11.9000000,11.7160000,11.9000000,0
20140521,000000,11.7232000,11.7232000,11.7232000,11.7232000,0
20140522,000000,11.7300000,11.7300000,11.7300000,11.7300000,0
20140523,000000,11.7151000,11.7151000,11.7151000,11.7151000,0
20140525,000000,11.7151000,11.7151000,11.7151000,11.7151000,0
20140527,000000,11.7511000,11.7511000,11.7511000,11.7511000,0
20140528,000000,11.7097000,11.7097000,11.7097000,11.7097000,0
20140529,000000,11.7655000,11.7655000,11.7655000,11.7655000,0
20140530,000000,11.7745000,11.7745000,11.7745000,11.7745000,0
20140601,000000,11.7745000,11.7745000,11.7745000,11.7745000,0
20140603,000000,11.8333000,11.8333000,11.8333000,11.8333000,0
20140604,000000,11.8701000,11.8701000,11.8701000,11.8701000,0
20140605,000000,11.7600000,11.7600000,11.7600000,11.7600000,0
20140606,000000,11.8258000,11.8258000,11.8258000,11.8258000,0
20140609,000000,11.8258000,11.8258000,11.8258000,11.8258000,0
20140610,000000,11.8035000,11.8035000,11.8035000,11.8035000,0
20140611,000000,11.6312000,11.6312000,11.6312000,11.6312000,0
20140613,000000,11.7285000,11.7285000,11.7285000,11.7285000,0
20140616,000000,11.7285000,11.7285000,11.7285000,11.7285000,0
20140617,000000,11.7604000,11.7604000,11.7603000,11.7603000,0
20140618,000000,11.8275000,11.8275000,11.8275000,11.8275000,0
20140619,000000,11.8498000,11.8498000,11.8498000,11.8498000,0
